Exchange ID,ticker,Name,Market Cap,Country,IPO Year,Sector,Industry
1,A,Agilent Technologies Inc. Common Stock,47303444102,United States,1999,Capital Goods,Electrical Products
1,AA,Alcoa Corporation Common Stock ,9130633574,,2016,Basic Industries,Metal Fabrications
1,AAC,Ares Acquisition Corporation Class A Ordinary Shares,1223750000,,2021,Finance,Business Services
1,AAIC,Arlington Asset Investment Corp Class A (new),116159056,United States,,Consumer Services,Real Estate Investment Trusts
1,AAIC^B,Arlington Asset Investment Corp 7.00% ,,United States,,,
1,AAIC^C,Arlington Asset Investment Corp 8.250% Seies C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock   ,,United States,,,
1,AAIN,Arlington Asset Investment Corp 6.000% Senior Notes Due 2026,0,United States,,,
1,AAN,Aarons Holdings Company Inc. Common Stock ,766617064,United States,2020,Miscellaneous,Diversified Commercial Services
1,AAP,Advance Auto Parts Inc.,14967736687,United States,,Consumer Services,Other Specialty Stores
1,AAQC,Accelerate Acquisition Corp. Class A Common Stock,487000000,,2021,,
1,AAT,American Assets Trust Inc. Common Stock,2162481044,United States,2011,Consumer Services,Real Estate Investment Trusts
1,AB,AllianceBernstein Holding L.P.  Units,5030536299,United States,,Finance,Investment Managers
1,ABB,ABB Ltd Common Stock,73202890000,Switzerland,,Consumer Durables,Electrical Products
1,ABBV,AbbVie Inc. Common Stock,2.21816E+11,United States,2012,Health Care,Other Pharmaceuticals
1,ABC,AmerisourceBergen Corporation Common Stock,25627460740,United States,,Health Care,Other Pharmaceuticals
1,ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),44223335042,,2013,Consumer Non-Durables,Beverages (Production/Distribution)
1,ABG,Asbury Automotive Group Inc Common Stock,3989752155,United States,2002,Consumer Services,Other Specialty Stores
1,ABM,ABM Industries Incorporated Common Stock,3064850979,United States,,Technology,Diversified Commercial Services
1,ABR,Arbor Realty Trust Common Stock,2733183294,United States,2004,Consumer Services,Real Estate Investment Trusts
1,ABR^D,Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per Share,,United States,,,
1,ABR^E,Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock,,United States,,,
1,ABR^F,Arbor Realty Trust 6.25% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per share,,United States,,,
1,ABT,Abbott Laboratories Common Stock,2.37605E+11,United States,,Health Care,Medical/Dental Instruments
1,AC,Associated Capital Group Inc. Common Stock,860265393,United States,2015,Finance,Investment Bankers/Brokers/Service
1,ACA,Arcosa Inc. Common Stock ,2660548829,,2018,Capital Goods,Engineering & Construction
1,ACC,American Campus Communities Inc Common Stock,7574297603,United States,2004,Consumer Services,Real Estate Investment Trusts
1,ACCO,Acco Brands Corporation Common Stock,787865002,United States,,Consumer Services,Advertising
1,ACEL,Accel Entertainment Inc. ,1218169968,United States,2017,Consumer Services,Recreational Products/Toys
1,ACH,Aluminum Corporation of China Limited American Depositary Shares,9348851984,China,2001,Basic Industries,Aluminum
1,ACHR,Archer Aviation Inc. Class A Common Stock,1734888104,United States,2020,Capital Goods,Aerospace
1,ACI,Albertsons Companies Inc. Class A Common Stock,14340734430,United States,2020,Consumer Services,Food Chains
1,ACII,Atlas Crest Investment Corp. II Class A Common Stock,421762500,,2021,,
1,ACM,AECOM Common Stock,10383607857,United States,2007,Consumer Services,Military/Government/Technical
1,ACN,Accenture plc Class A Ordinary Shares (Ireland),2.3967E+11,Ireland,2001,Technology,EDP Services
1,ACP,Aberdeen Income Credit Strategies Fund Common Shares,179249697,United States,2011,Finance,Investment Managers
1,ACP^A,Aberdeen Income Credit Strategies Fund 5.250% Series A Perpetual Preferred Stock,,United States,,,
1,ACR,ACRES Commercial Realty Corp. Common Stock,126936000,United States,,Consumer Services,Real Estate Investment Trusts
1,ACR^C,ACRES Commercial Realty Corp. 8.625% Fixed-to-Floating Series C Cumulative Redeemable Preferred Stock ,,United States,,,
1,ACR^D,ACRES Commercial Realty Corp. 7.875% Series D Cumulative Redeemable Preferred Stock,,United States,,,
1,ACRE,Ares Commercial Real Estate Corporation Common Stock,690456750,United States,2012,Consumer Services,Real Estate Investment Trusts
1,ACRO,Acropolis Infrastructure Acquisition Corp. Class A Common Stock,418312500,,2021,,
1,ACV,Virtus AllianzGI Diversified Income & Convertible Fund Common Shares of Beneficial Interest,353896986,United States,2015,Finance,Finance/Investors Services
1,ADC,Agree Realty Corporation Common Stock,4745022864,United States,,Consumer Services,Real Estate Investment Trusts
1,ADC^A,Agree Realty Corporation Depositary Shares each representing 1/1000th of a 4.250% Series A Cumulative Redeemable Preferred Stock,,United States,,,
1,ADCT,ADC Therapeutics SA Common Shares,1562053751,,2020,Health Care,Biotechnology: Pharmaceutical Preparations
1,ADEX,Adit EdTech Acquisition Corp. Common Stock,340860000,,2021,,
1,ADM,Archer-Daniels-Midland Company Common Stock,35496547947,United States,,,
1,ADNT,Adient plc Ordinary Shares ,4469742269,,2016,Capital Goods,Auto Parts:O.E.M.
1,ADS,Alliance Data Systems Corporation Common Stock,3641282872,United States,2001,Finance,Diversified Financial Services
1,ADT,ADT Inc. Common Stock,7065800746,United States,2018,Consumer Services,Diversified Commercial Services
1,ADX,Adams Diversified Equity Fund Inc.,2130610452,United States,,Finance,Investment Managers
1,AEE,Ameren Corporation Common Stock,22473564103,United States,,Public Utilities,Power Generation
1,AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,0,,2019,,
1,AEG,AEGON N.V. Common Stock,9162843060,Netherlands,,Finance,Life Insurance
1,AEL,American Equity Investment Life Holding Company Common Stock,3403572290,United States,2003,Finance,Life Insurance
1,AEL^A,American Equity Investment Life Holding Company Depositary Shares each representing a 1/1000th interest in a share of 5.95% Fixed-Rate Reset Non-Cumulative Preferred Stock Series A,,United States,,,
1,AEL^B,American Equity Investment Life Holding Company Depositary Shares each representing a 1/1000th interest in a share of 6.625% Fixed-Rate Reset Non-Cumulative Preferred Stock Series B,,United States,,,
1,AEM,Agnico Eagle Mines Limited Common Stock,11672777808,Canada,,,
1,AENZ,Aenza S.A.A. American Depositary Shares,277269878,,2018,Capital Goods,Engineering & Construction
1,AEO,American Eagle Outfitters Inc. Common Stock,4399339135,United States,,Consumer Services,Clothing/Shoe/Accessory Stores
1,AER,AerCap Holdings N.V. Ordinary Shares,14827416668,Netherlands,2006,Technology,Diversified Commercial Services
1,AES,The AES Corporation Common Stock,16281151704,United States,,Public Utilities,Electric Utilities: Central
1,AESC,The AES Corporation Corporate Units,0,United States,,Public Utilities,Electric Utilities: Central
1,AEVA,Aeva Technologies Inc. Common Stock,1923935849,,2020,Capital Goods,Auto Parts:O.E.M.
1,AFB,AllianceBernstein National Municipal Income Fund Inc,431174040,United States,2002,Finance,Trusts Except Educational Religious and Charitable
1,AFG,American Financial Group Inc. Common Stock,11705183874,United States,,Finance,Property-Casualty Insurers
1,AFGB,American Financial Group Inc. 5.875% Subordinated Debentures due 2059,0,United States,2019,Finance,Property-Casualty Insurers
1,AFGC,American Financial Group Inc. 5.125% Subordinated Debentures due 2059,26504781,United States,2019,Finance,Real Estate
1,AFGD,American Financial Group Inc. 5.625% Subordinated Debentures due 2060,0,United States,2020,,
1,AFGE,American Financial Group Inc. 4.500% Subordinated Debentures due 2060,0,United States,2020,,
1,AFI,Armstrong Flooring Inc. Common Stock,43853045,,2016,Capital Goods,Building Products
1,AFL,AFLAC Incorporated Common Stock,38262792187,United States,,Finance,Accident &Health Insurance
1,AFT,Apollo Senior Floating Rate Fund Inc. Common Stock,250570551,,2011,Finance,Investment Managers
1,AFTR,AfterNext HealthTech Acquisition Corp. Class A Ordinary Shares,302812500,,2021,,
1,AG,First Majestic Silver Corp. Ordinary Shares (Canada),2748318954,Canada,,,
1,AGAC,African Gold Acquisition Corporation Class A Ordinary Shares,507150000,,2021,Finance,Business Services
1,AGCB,Altimeter Growth Corp. 2 Class A Ordinary Shares,569485500,,2021,Finance,Business Services
1,AGCO,AGCO Corporation Common Stock,8771313417,United States,,Capital Goods,Industrial Machinery/Components
1,AGD,Aberdeen Global Dynamic Dividend Fund,150218497,United States,2006,Finance,Trusts Except Educational Religious and Charitable
1,AGI,Alamos Gold Inc. Class A Common Shares,2806394334,Canada,2015,,
1,AGL,agilon health inc. Common Stock,8998962970,,2021,Health Care,Managed Health Care
1,AGM,Federal Agricultural Mortgage Corporation Common Stock,1307996086,United States,,Finance,Finance Companies
1,AGM^C,Federal Agricultural Mortgage Corporation Preferred Series C Fixed to Fltg,,United States,,,
1,AGM^D,Federal Agricultural Mortgage Corporation 5.700% Non-Cumulative Preferred Stock Series D,,United States,,,
1,AGM^E,Federal Agricultural Mortgage Corporation 5.750% Non-Cumulative Preferred Stock Series E,,United States,,,
1,AGM^F,Federal Agricultural Mortgage Corporation 5.250% Non-Cumulative Preferred Stock Series F,,United States,,,
1,AGM^G,Federal Agricultural Mortgage Corporation 4.875% Non-Cumulative Preferred Stock Series G,,United States,,,
1,AGO,Assured Guaranty Ltd. Common Stock,3397542377,Bermuda,2004,Finance,Property-Casualty Insurers
1,AGR,Avangrid Inc. Common Stock,18667131645,United States,2015,Public Utilities,Electric Utilities: Central
1,AGRO,Adecoagro S.A. Common Shares,864336411,Luxembourg,2011,,Farming/Seeds/Milling
1,AGS,PlayAGS Inc. Common Stock,248899458,United States,2018,Consumer Services,Recreational Products/Toys
1,AGTI,Agiliti Inc. Common Stock,2601296153,,2021,Health Care,Managed Health Care
1,AGX,Argan Inc. Common Stock,591511694,United States,,Capital Goods,Oilfield Services/Equipment
1,AHH,Armada Hoffler Properties Inc. Common Stock,912125557,United States,2013,Consumer Services,Real Estate Investment Trusts
1,AHH^A,Armada Hoffler Properties Inc. 6.75% Series A Cumulative Redeemable Perpetual Preferred Stock,,United States,,,
1,AHL^C,Aspen Insurance Holdings Limited 5.95% Fixed-to-Floating Rate Perpetual Non-Cumulative Preference Shares,,Bermuda,,,
1,AHL^D,Aspen Insurance Holdings Limited 5.625% Perpetual Non-Cumulative Preference Shares,,Bermuda,,,
1,AHL^E,Aspen Insurance Holdings Limited Depositary Shares each representing a 1/1000th interest in a share of 5.625% Perpetual Non-Cumulative Preference Shares,,Bermuda,,,
1,AHT,Ashford Hospitality Trust Inc Common Stock,348711599,United States,2003,Consumer Services,Real Estate Investment Trusts
1,AHT^D,Ashford Hospitality Trust Inc 8.45% Series D Cumulative Preferred Stock,,United States,,,
1,AHT^F,Ashford Hospitality Trust Inc 7.375% Series F Cumulative Preferred Stock,,United States,,,
1,AHT^G,Ashford Hospitality Trust Inc 7.375% Series G Cumulative Preferred Stock,,United States,,,
1,AHT^H,Ashford Hospitality Trust Inc 7.50% Series H Cumulative Preferred Stock,,United States,,,
1,AHT^I,Ashford Hospitality Trust Inc 7.50% Series I Cumulative Preferred Stock,,United States,,,
1,AI,C3.ai Inc. Class A Common Stock,3533455848,,2020,Technology,Computer Software: Prepackaged Software
1,AIC,Arlington Asset Investment Corp 6.750% Notes due 2025,0,United States,2015,Consumer Services,Real Estate Investment Trusts
1,AIF,Apollo Tactical Income Fund Inc. Common Stock,221878159,,2013,Finance,Finance Companies
1,AIG,American International Group Inc. New Common Stock,46858384672,United States,,Finance,Life Insurance
1,AIG^A,American International Group Inc. Depositary Shares Each Representing a 1/1000th Interest in a Share of Series A 5.85% Non-Cumulative Perpetual Preferred Stock,,United States,,,
1,AIN,Albany International Corporation Common Stock,2822975580,United States,,Basic Industries,Textiles
1,AIO,Virtus AllianzGI Artificial Intelligence & Technology Opportunities Fund Common Shares,930234895,,2019,Finance,Finance/Investors Services
1,AIR,AAR Corp. Common Stock,1256388416,United States,,Capital Goods,Aerospace
1,AIRC,Apartment Income REIT Corp. Common Stock,8207197862,,2020,Consumer Services,Real Estate Investment Trusts
1,AIT,Applied Industrial Technologies Inc. Common Stock,3949577548,United States,,Capital Goods,Industrial Machinery/Components
1,AIV,Apartment Investment and Management Company Common Stock,1192021880,United States,1994,Consumer Services,Real Estate Investment Trusts
1,AIZ,Assurant Inc. Common Stock,8831389895,United States,2004,Finance,Specialty Insurers
1,AIZN,Assurant Inc. 5.25% Subordinated Notes due 2061,0,United States,2020,Finance,Accident &Health Insurance
1,AJG,Arthur J. Gallagher & Co. Common Stock,35154348800,United States,,Finance,Specialty Insurers
1,AJRD,Aerojet Rocketdyne Holdings Inc. Common Stock,3428521576,United States,,Capital Goods,Military/Government/Technical
1,AJX,Great Ajax Corp. Common Stock,290592150,United States,2015,Consumer Services,Real Estate Investment Trusts
1,AJXA,Great Ajax Corp. 7.25% Convertible Senior Notes due 2024,0,United States,2017,Consumer Services,Real Estate Investment Trusts
1,AKA,a.k.a. Brands Holding Corp. Common Stock,1395829021,,2021,Consumer Non-Durables,Department/Specialty Retail Stores
1,AKO/A,Embotelladora Andina S.A.,,Chile,,,
1,AKO/B,Embotelladora Andina S.A.,,Chile,,,
1,AKR,Acadia Realty Trust Common Stock,1892906377,United States,,Consumer Services,Real Estate Investment Trusts
1,AL,Air Lease Corporation Class A Common Stock,5071288481,United States,2011,Technology,Diversified Commercial Services
1,AL^A,Air Lease Corporation 6.150% Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock Series A,,United States,,,
1,ALB,Albemarle Corporation Common Stock,30749564713,United States,,Basic Industries,Industrial Specialties
1,ALC,Alcon Inc. Ordinary Shares,41246816000,Switzerland,2019,Health Care,Ophthalmic Goods
1,ALCC,AltC Acquisition Corp. Class A Common Stock,633105000,,2021,,
1,ALE,Allete Inc.,3308911010,United States,,Public Utilities,Power Generation
1,ALEX,Alexander & Baldwin Inc. Common Stock REIT Holding Company,1755224863,United States,,Consumer Services,Real Estate Investment Trusts
1,ALG,Alamo Group Inc. Common Stock,1777830529,United States,,Capital Goods,Industrial Machinery/Components
