	1	2	3	4
1	1	2	0.0999	100
2	1	3	0.0424	100
3	4	5	0.00798	500
4	3	5	0.108	100
5	5	6	0.054	100
6	6	7	0.0208	100
7	8	9	0.0305	500
8	8	5	0.0267	500
9	9	10	0.0322	500
10	4	11	0.0688	100
11	5	11	0.0682	100
12	11	12	0.0196	100
13	2	12	0.0616	100
14	3	12	0.16	100
15	7	12	0.034	100
16	11	13	0.0731	100
17	12	14	0.0707	100
18	13	15	0.2444	100
19	14	15	0.195	100
20	12	16	0.0834	100
21	15	17	0.0437	500
22	16	17	0.1801	100
23	17	18	0.0505	100
24	18	19	0.0493	100
25	19	20	0.117	100
26	15	19	0.0394	100
27	20	21	0.0849	100
28	21	22	0.097	100
29	22	23	0.159	100
30	23	24	0.0492	100
31	23	25	0.08	500
32	26	25	0.0382	500
33	25	27	0.163	500
34	27	28	0.0855	100
35	28	29	0.0943	100
36	30	17	0.0388	500
37	8	30	0.0504	100
38	26	30	0.086	500
39	17	31	0.1563	100
40	29	31	0.0331	100
41	23	32	0.1153	100
42	31	32	0.0985	100
43	27	32	0.0755	100
44	15	33	0.1244	100
45	19	34	0.247	100
46	35	36	0.0102	100
47	35	37	0.0497	100
48	33	37	0.142	100
49	34	36	0.0268	100
50	34	37	0.0094	500
51	38	37	0.0375	500
52	37	39	0.106	100
53	37	40	0.168	100
54	30	38	0.054	100
55	39	40	0.0605	100
56	40	41	0.0487	100
57	40	42	0.183	100
58	41	42	0.135	100
59	43	44	0.2454	100
60	34	43	0.1681	100
61	44	45	0.0901	100
62	45	46	0.1356	100
63	46	47	0.127	100
64	46	48	0.189	100
65	47	49	0.0625	100
66	42	49	0.323	100
67	42	49	0.323	100
68	45	49	0.186	100
69	48	49	0.0505	100
70	49	50	0.0752	100
71	49	51	0.137	100
72	51	52	0.0588	100
73	52	53	0.1635	100
74	53	54	0.122	100
75	49	54	0.289	100
76	49	54	0.291	100
77	54	55	0.0707	100
78	54	56	0.00955	100
79	55	56	0.0151	100
80	56	57	0.0966	100
81	50	57	0.134	100
82	56	58	0.0966	100
83	51	58	0.0719	100
84	54	59	0.2293	100
85	56	59	0.251	100
86	56	59	0.239	100
87	55	59	0.2158	100
88	59	60	0.145	100
89	59	61	0.15	100
90	60	61	0.0135	500
91	60	62	0.0561	100
92	61	62	0.0376	100
93	63	59	0.0386	500
94	63	64	0.02	500
95	64	61	0.0268	500
96	38	65	0.0986	500
97	64	65	0.0302	500
98	49	66	0.0919	500
99	49	66	0.0919	500
100	62	66	0.218	100
101	62	67	0.117	100
102	65	66	0.037	500
103	66	67	0.1015	100
104	65	68	0.016	500
105	47	69	0.2778	100
106	49	69	0.324	100
107	68	69	0.037	500
108	69	70	0.127	500
109	24	70	0.4115	100
110	70	71	0.0355	100
111	24	72	0.196	100
112	71	72	0.18	100
113	71	73	0.0454	100
114	70	74	0.1323	100
115	70	75	0.141	100
116	69	75	0.122	500
117	74	75	0.0406	100
118	76	77	0.148	100
119	69	77	0.101	100
120	75	77	0.1999	100
121	77	78	0.0124	100
122	78	79	0.0244	100
123	77	80	0.0485	500
124	77	80	0.105	500
125	79	80	0.0704	100
126	68	81	0.0202	500
127	81	80	0.037	500
128	77	82	0.0853	100
129	82	83	0.03665	100
130	83	84	0.132	100
131	83	85	0.148	100
132	84	85	0.0641	100
133	85	86	0.123	500
134	86	87	0.2074	500
135	85	88	0.102	100
136	85	89	0.173	100
137	88	89	0.0712	500
138	89	90	0.188	500
139	89	90	0.0997	500
140	90	91	0.0836	100
141	89	92	0.0505	500
142	89	92	0.1581	500
143	91	92	0.1272	100
144	92	93	0.0848	100
145	92	94	0.158	100
146	93	94	0.0732	100
147	94	95	0.0434	100
148	80	96	0.182	100
149	82	96	0.053	100
150	94	96	0.0869	100
151	80	97	0.0934	100
152	80	98	0.108	100
153	80	99	0.206	100
154	92	100	0.295	100
155	94	100	0.058	100
156	95	96	0.0547	100
157	96	97	0.0885	100
158	98	100	0.179	100
159	99	100	0.0813	100
160	100	101	0.1262	100
161	92	102	0.0559	100
162	101	102	0.112	100
163	100	103	0.0525	500
164	100	104	0.204	100
165	103	104	0.1584	100
166	103	105	0.1625	100
167	100	106	0.229	100
168	104	105	0.0378	100
169	105	106	0.0547	100
170	105	107	0.183	100
171	105	108	0.0703	100
172	106	107	0.183	100
173	108	109	0.0288	100
174	103	110	0.1813	100
175	109	110	0.0762	100
176	110	111	0.0755	100
177	110	112	0.064	100
178	17	113	0.0301	100
179	32	113	0.203	500
180	32	114	0.0612	100
181	27	115	0.0741	100
182	114	115	0.0104	100
183	68	116	0.00405	500
184	12	117	0.14	100
185	75	118	0.0481	100
186	76	118	0.0544	100;
