	1	2
1	15	15
2	15	15
3	15	15
4	250	250
5	150	150
6	15	15
7	50	50
8	15	15
9	15	15
10	150	150
11	175	175
12	15	15
13	15	15
14	50	50
15	15	15
16	50	50
17	15	15
18	15	15
19	50	50
20	125	125
21	125	125
22	50	50
23	50	50
24	100	100
25	100	100
26	50	50
27	210	210
28	210	210
29	150	150
30	40	40
31	15	15
32	15	15
33	10	10
34	50	50
35	50	50
36	250	250
37	50	50
38	15	15
39	325	325
40	250	250
41	10	10
42	25	25
43	150	150
44	150	150
45	150	150
46	10	10
47	50	50
48	50	50
49	10	10
50	25	25
51	50	50
52	50	50
53	50	50
54	25	25;
